objID,ra_sdssdr5,dec_sdssdr5,ra_rosatsdssdr5,dec_rosatsdssdr5,distance,F_Halpha,EW_Halpha,s2n_Halpha,F_Hbeta,EW_Hbeta,s2n_Hbeta,F_oiii,EW_oiii,s2n_oiii,F_nii,EW_nii,s2n_nii,RASS,SDSS,umag,gmag,rmag,imag,zmag,St,z,CRate,Exp,HR1,HR2,L,FX,g0mag,FXcor,logLX,LogL2500,logL2keV,alpha,Comm,agn_type
587724198279971122,20.317416,14.134081,20.31737,14.13406,0.00261279364557157,-999,-999,0,109.986,15.117,3.906,-999,-999,0.279,-999,-999,0,012116.5+140745,012116.17+140802.6,22.68,21.99,20.73,20.04,19.6,3,0.452,0.0276,260,-0.25,0.19,10,2.99,21.85,7.8,44.85,28.48,26.32,0.83,Sy1.5,BL_Seyfert
587724199352074423,16.622087,15.247081,16.62208,15.24706,0.00100649895479657,1915.423,60.858,26.383,479.087,13.449,22.204,3448.153,102.681,32.313,1328.425,41.987,19.683,010633.2+151432,010629.30+151449.4,20.02,19.02,18.23,17.83,17.72,3,0.168,0.0195,432,0.77,-1,11,2.17,18.74,5.8,43.69,28.79,25.16,1.39,Sy1.9,BL_Seyfert
587724199886782511,11.464463,15.929924,11.46442,15.92989,0.00198353780653167,1366.91,60.325,41.901,374.186,12.418,52.654,1158.884,4.711,57.858,582.326,25.566,15.239,004549.6+155529,004551.46+155547.6,18.86,18.45,18.12,17.64,17.64,3,0.115,0.023,419,0.36,0.52,10,2.59,18.25,6.96,43.4,28.63,24.87,1.45,Sy1.8,BL_Seyfert
587724199886782511,11.464463,15.929924,11.46442,15.92989,0.00198353780653167,1336.728,61.281,41.652,384.099,13.005,50.019,1185.149,4.923,55.543,707.654,32.273,14.821,004549.6+155529,004551.46+155547.6,18.86,18.45,18.12,17.64,17.64,3,0.115,0.023,419,0.36,0.52,10,2.59,18.25,6.96,43.4,28.63,24.87,1.45,Sy1.8,BL_Seyfert
587724199886782511,11.464463,15.929924,11.46442,15.92989,0.00198353780653167,1290.557,54.902,37.059,398.004,12.509,36.37,1234.958,4.774,54.109,1049.227,44.403,13.046,004549.6+155529,004551.46+155547.6,18.86,18.45,18.12,17.64,17.64,3,0.115,0.023,419,0.36,0.52,10,2.59,18.25,6.96,43.4,28.63,24.87,1.45,Sy1.8,BL_Seyfert
587724231571341432,27.295762,13.068585,27.29583,13.06858,0.00193581208156496,1117.435,32.35,83.73,209.719,6.255,35.659,815.338,25.199,51.568,944.691,27.205,49.54,014913.6+130352,014911.00+130406.9,20.34,18.9,18.1,17.49,17.18,3,0.073,0.1118,334,0.63,0.37,24,13.45,18.56,38.98,43.72,28.1,25.19,1.12,Sy2?,NL_Seyfert
587724232103690297,16.800139,14.145832,16.80017,14.14581,0.000683787900049483,1784.952,94.156,28.214,619.435,26.943,21.136,410.824,19,43.76,293.327,15.392,17.994,010712.9+140843,010712.04+140844.9,19.51,19.02,18.6,18.19,18,3,0.077,0.0483,428,0.76,0.11,33,5.32,18.76,14.04,43.33,28.07,24.79,1.26,NLS1?,NL_Seyfert
587724232636497959,7.2032353,14.871203,7.20321,14.87119,0.0016944833221232,909.543,42.765,63.069,263.28,9.109,35.009,599.211,22.444,48.495,526.851,24.642,43.842,002847.7+145142,002848.77+145216.3,19.75,18.99,18.45,18.05,17.73,3,0.089,0.0247,422,0.13,-0.69,14,2.84,18.7,7.79,43.21,28.22,24.67,1.36,Sy1.8,BL_Seyfert
587724233182609470,29.04545,14.159512,29.04542,14.1595,0.00203113252187644,1382.941,28.074,53.599,263.827,5.175,33.301,643.538,13.216,33.311,978.095,19.751,33.34,015612.1+140855,015610.90+140934.2,19.39,18.28,17.66,17.18,17.01,3,0.082,0.0347,336,0.91,0.03,12,4.19,18.07,12.21,43.33,28.4,24.79,1.39,Sy1.9,BL_Seyfert
587724234248683636,11.041317,16.17925,11.04133,16.17919,0.00178146473665371,110.157,10.949,7.342,66.789,5.601,8.636,324.866,29.068,28.576,-994,-999,5.548,004411.1+161042,004409.92+161045.1,20.53,19.97,19.43,19.2,18.78,3,0.278,0.0205,413,1,-0.24,8,2.31,19.76,6.22,44.23,28.85,25.7,1.21,-9999,Other_AGN
