#       0               1       2        3           4           5             6               7              8              9             10             11           12               13             14                  15                 16              17               18               19             20               21             22               23               24              25              26             27             28            29              30                    31                    32             33               34               35             36               37               38                   39                40                 41                 42                43                 44              45                46              47               48            49              50               51                  52                 53                 54                55                  56                    57                58                 59            60            61           62             63              64              65           66            67             68           69          70            71          72            73          74             75             76             77           78            79                    80             81              82           83                 84               85            86                87               88                 89                         90                        91                 92              93               94              95             96              97              98             99              100           101        102         103
    ObjectID         plate    mjd    fiberID       RA          Dec       model_mag_u     model_mag_g    model_mag_r    model_mag_i    model_mag_z      mag_fuv      mag_nuv     mmag_extinc_u     mmag_extinc_g     mmag_extinc_r     mmag_extinc_i     mmag_extinc_z      mmag_err_u      mmag_err_g      mmag_err_r      mmag_err_i      mmag_err_z      mag_err_fuv      mag_err_nuv     mag_u_dered    mag_g_dered    mag_r_dered    mag_i_dered    mag_z_dered     mag_fuv_dered_fm     mag_nuv_dered_fm        mag_ab_u        mag_ab_g        mag_ab_r        mag_ab_i        mag_ab_z        mag_u_abs          mag_g_abs          mag_r_abs          mag_i_abs          mag_z_abs        mag_fuv_abs        mag_nuv_abs         flux_u           flux_g           flux_r           flux_i           flux_z       flux_fuv       flux_nuv         flux_sca_u         flux_sca_g         flux_sca_r         flux_sca_i         flux_sca_z         flux_sca_fuv         flux_sca_nuv       flux_fuv_synth    flux_nuv_synth     R90_r        E(B-V)        S2N_r      S2N_FUV_auto     redshift      redshift_err      AV_MK     AV_GAL_synth     A_lamb_u     A_lamb_g     A_lamb_r     A_lamb_i     A_lamb_z   A_lamb_fuv   A_lamb_nuv     Dn4000_Synth   Dn4000_Obs     Morph_Type    Survey       Scaling_Factor   log10([NII]/Ha)   log10(EW(Ha))    WHAN_Class   log10([NII]/Ha)  log10([OIII]/Hb)     BPT_Class  young_pop_ratio   interm_pop_ratio   old_pop_ratio   Luminosity_Distance(Mpc)     Chi2_Goodness      Chi2_Relative_Goodness        Age          Metallicity        M2L_u           M2L_g           M2L_r           M2L_i           M2L_z        Mcor_gal        Petro_rad_r      R50_r      R50_u    fiberMag_z    H_alpha_flux
588848900973789227     269    51910     521      151.1555     0.8294874     18.97666       17.99758       17.51251       17.07405       16.93363       20.63528     19.95536        0.17122           0.12598           0.09137           0.06928           0.04912          0.02259         0.00613         0.00566         0.00603         0.01219          0.18231          0.08230        18.80544       17.87160       17.42114       17.00476       16.88451          20.37168             19.66798             18.76544        17.88160        17.43114        17.01477        16.90451       -18.56749          -19.45133          -19.90179          -20.31816          -20.42842          -16.96125          -17.66495         26.82112         34.64300         30.41521         30.32726         23.55322      33.53178       30.10764          56.13704           72.50835           63.65952           63.47543           49.29726             70.18256             63.01578          299.18955         85.25914        2.13455     0.03318981     22.2841       5.957045       0.0659512       7.81e-05       0.1029        0.6150         0.162        0.125        0.090        0.069        0.050        0.270        0.294          1.168         1.198            3         ['AIS']         2.09302           -0.37857         1.90586            2         -0.37857            -0.41685            1          0.58090            0.11194         0.30716            292.81                     0.93228                   0.31076           8.54200         -1.31060         1.02780         1.56400         1.59190         1.40510         1.23440       10.24490         3.88220       1.81070    1.27574      18.28584     2472.38900
588848900437639319     270    51909     482      152.7717     0.2662890     20.32685       18.38363       17.43189       16.98154       16.64985       23.10707     22.60238        0.16000           0.11772           0.08538           0.06474           0.04590          0.06930         0.00775         0.00560         0.00562         0.01343          0.25953          0.25526        20.16685       18.26591       17.34651       16.91680       16.60395          22.86158             22.33474             20.12685        18.27591        17.35651        16.92680        16.62395       -17.86851          -19.71945          -20.63885          -21.06856          -21.37141          -15.13378          -15.66062          7.65443         24.09303         32.57938         32.88676         30.49820       3.38452        2.58209           4.32009           13.59787           18.38748           18.56097           17.21289              1.91019              1.45731            3.83636          2.16576        3.26157     0.03090981     20.9441       4.184515       0.0880720       1.63e-04       0.0958       -0.0950         0.151        0.117        0.084        0.065        0.046        0.251        0.274          1.897         1.904            3         ['MIS']         0.56439            0.01467         0.04766            4          0.01467             0.23209            3          0.02571            0.06212         0.91217            397.26                     0.69498                   0.23166           8.04700         -0.61750         0.17610         0.31360         0.37240         0.35010         0.31680        9.36700         4.78420       2.23620    0.70213      18.42785       30.70000
587728947975487636     271    51883     253      153.8220    -0.8222328     19.34842       18.04923       17.47303       17.08392       16.89813       21.13464     20.55655        0.22027           0.16207           0.11755           0.08913           0.06320          0.04622         0.00685         0.00601         0.00570         0.01598          0.11163          0.04514        19.12815       17.88716       17.35548       16.99478       16.83494          20.80079             20.19258             19.08815        17.89716        17.36548        17.00479        16.85493       -19.19451          -20.38550          -20.91718          -21.27787          -21.42773          -17.48186          -18.09007         19.92475         34.15006         32.31133         30.60731         24.65371      22.58448       18.57091          27.12296           46.48744           43.98443           41.66480           33.56034             30.74357             25.28002          129.94271         44.25058        3.07600     0.04203413     21.6980       9.728652       0.0997159       5.21e-05       0.1303        0.6390         0.206        0.159        0.114        0.088        0.063        0.342        0.372          1.223         1.203            3         ['MIS']         1.36127           -0.35412         1.60804            2         -0.35412            -0.31676            1          0.38045            0.46882         0.15072            453.45                     1.03684                   0.34561           9.25320         -0.21500         3.14530         2.99780         2.50420         2.02400         1.66990       10.85670         5.31040       2.24180    7.06407      19.13375      937.20700
587728950123364542     271    51883     528      154.7963     0.9343923     19.33928       18.17227       17.54930       17.15564       16.92801       21.38483     20.75942        0.19968           0.14693           0.10656           0.08080           0.05729          0.04368         0.01075         0.00874         0.00769         0.01796          0.35092          0.11197        19.13959       18.02534       17.44274       17.07483       16.87071          21.07539             20.42207             19.09960        18.03534        17.45274        17.08484        16.89072       -19.14081          -20.20507          -20.78767          -21.15557          -21.34969          -17.16501          -17.81834         19.71574         30.06903         29.81610         28.43185         23.85428      17.53763       15.03285          22.69720           34.61614           34.32496           32.73138           27.46158             20.18971             17.30615           85.85362         32.46107        3.09001     0.03896094     21.2720       3.094701       0.0979166       5.09e-05       0.1208        0.4710         0.191        0.147        0.106        0.081        0.058        0.317        0.345          1.269         1.247            3         ['AIS']         1.15122           -0.34684         1.53154            2         -0.34684            -0.49655            1          0.47281            0.16775         0.35944            444.71                     0.12715                   0.04238           9.46160          0.08830         7.34450         5.12810         3.73500         2.78730         2.15590       12.31240         3.40840       1.55000    2.34481      21.13438      776.55100
588848900975296729     271    51883     533      154.6085     0.6359314     19.53617       18.18014       17.45268       17.04564       16.79824       21.50055     21.08714        0.18920           0.13921           0.10097           0.07656           0.05428          0.03532         0.00794         0.00597         0.00628         0.01349          0.12396          0.07377        19.34696       18.04093       17.35171       16.96908       16.74396          21.21051             20.77093             19.30697        18.05093        17.36171        16.97908        16.76396       -18.37022          -19.62626          -20.31548          -20.69811          -20.91323          -16.46668          -16.90626         16.28790         29.64036         32.42372         31.34073         26.80836      15.48548       10.90172          15.80757           28.76628           31.46755           30.41651           26.01779             15.02882             10.58023           96.64578         30.81458        2.83135     0.03651883     23.2582       8.761106       0.0766856       1.76e-04       0.1132        0.2570         0.179        0.138        0.099        0.076        0.055        0.297        0.324          1.380         1.413            3         ['MIS']         0.97051           -0.36658         1.15878            2         -0.36658            -0.50192            1          0.30687            0.15672         0.53641            343.11                     0.51853                   0.17284           8.81650         -0.16520         0.68960         0.90950         0.87870         0.75900         0.66100       10.15140         9.89560       4.05530    0.77986      19.25302      383.60000
588848900438622376     271    51883     543      155.0051     0.3203071     19.59359       18.27946       17.51525       17.09671       16.79697       21.37226     20.70751        0.21573           0.15873           0.11513           0.08730           0.06189          0.03848         0.00704         0.00562         0.00571         0.01502          0.11303          0.06593        19.37786       18.12072       17.40012       17.00941       16.73507          21.03993             20.34519             19.33786        18.13073        17.41012        17.01941        16.75508       -18.87844          -20.08557          -20.80618          -21.19689          -21.46122          -17.17638          -17.87111         15.83102         27.53997         31.00979         30.19793         27.02852      18.11995       16.13576          16.46260           28.63868           32.24692           31.40267           28.10682             18.84285             16.77950           57.27221         22.73594        2.96599     0.04184365     21.7000       9.608428       0.0969039       1.70e-04       0.1297        0.3170         0.205        0.158        0.114        0.087        0.063        0.340        0.371          1.402         1.383            3         ['MIS']         1.03990           -0.33759         1.26717            2         -0.33759            -0.46330            1          0.28339            0.17190         0.54471            439.81                     0.48525                   0.16175           9.27180         -0.32650         1.45810         1.37940         1.24200         1.06240         0.92130       10.64450         3.45150       1.58860    0.14939      22.90529      496.60900
588848899365404787     272    51941     142      156.3277    -0.5673653     19.08611       17.95263       17.43436       17.07036       16.84931       20.88309     20.59133        0.32341           0.23796           0.17259           0.13087           0.09279          0.02727         0.00734         0.00681         0.00757         0.01400          0.21433          0.12726        18.76270       17.71467       17.26177       16.93949       16.75653          20.37906             20.04183             18.72270        17.72467        17.27177        16.94949        16.77652       -18.56248          -19.56051          -20.01341          -20.33569          -20.50866          -16.90612          -17.24336         27.89799         40.03017         35.22401         32.20662         26.50002      33.30450       21.33711          29.43449           42.23485           37.16398           33.98041           27.95952             35.13876             22.51226          177.10550         57.40798        3.19736     0.06346159     23.8015       5.066870       0.0645813       8.18e-05       0.1967        0.3470         0.310        0.239        0.173        0.133        0.095        0.516        0.562          1.206         1.173            3         ['AIS']         1.05508           -0.45027         1.56820            1         -0.45027            -0.29590            1          0.44549            0.21868         0.33583            286.44                     0.41097                   0.13699          10.12590          0.03740        12.36500         7.27940         4.85290         3.58010         2.73680       12.27950         6.10370       2.28360 -9999.00000      20.54430      962.49300
587728947976077501     272    51941     292      155.1962    -0.6778257     19.43350       18.14096       17.57849       17.16292       16.95005       20.51742     20.26755        0.25039           0.18423           0.13362           0.10132           0.07184          0.06364         0.00841         0.00811         0.00862         0.02147          0.17126          0.07053        19.18311       17.95672       17.44487       17.06160       16.87822          20.13230             19.84768             19.14311        17.96673        17.45487        17.07160        16.89821       -18.60024          -19.77662          -20.28848          -20.67175          -20.84514          -17.61105          -17.89567         18.94126         32.03048         29.75766         28.78068         23.69028      41.80306       25.51488          14.48876           24.50110           22.76255           22.01523           18.12143             31.97645             19.51712           76.06258         24.98768        3.41330     0.04849008     16.8030       6.341357       0.0789315       9.02e-05       0.1503        0.3530         0.237        0.183        0.132        0.101        0.073        0.394        0.430          1.273         1.322            3         ['MIS']         0.76493           -0.42699         1.44595            1         -0.42699            -0.23627            1          0.33532            0.18148         0.48320            353.73                     0.15647                   0.05216           8.96210         -0.27260         1.65570         1.82030         1.54140         1.28420         1.08380       11.64040         6.45580       3.11340    1.02371      18.60203      468.29500
587728949049819322     272    51941     400      155.2279     0.1504472     20.08634       18.50812       17.68502       17.26207       16.99416       23.02836     22.18925        0.20475           0.15066           0.10927           0.08285           0.05875          0.07337         0.00887         0.00672         0.00690         0.01984          0.31655          0.15386        19.88158       18.35746       17.57576       17.17922       16.93542          22.70965             21.84178             19.84159        18.36746        17.58575        17.18922        16.95541       -17.66683          -19.14096          -19.92267          -20.31920          -20.55301          -14.79878          -15.66664          9.95444         22.14478         26.37830         25.82576         22.47451       3.89286        4.06587           7.81088           17.37618           20.69806           20.26451           17.63491              3.05458              3.19034           15.51411          5.79872        2.84005     0.04012876     19.7013       3.430789       0.0712300       3.91e-05       0.1244        0.1510         0.196        0.151        0.109        0.084        0.060        0.326        0.356          1.647         1.563            3         ['MIS']         0.78466           -0.07004         0.99704            2         -0.07004             0.73556            3          0.07299            0.02426         0.90275            317.46                     0.47735                   0.15912           9.36780          0.11910         3.19270         2.61210         1.94000         1.50800         1.19150       11.89950         6.57710       2.84300    0.64958      19.18446      203.88900
588848900438884611     272    51941     438      155.7115     0.2951223     19.46230       18.10524       17.42941       17.03763       16.79285       20.62045     21.02201        0.21954           0.16153           0.11716           0.08884           0.06299          0.04144         0.00775         0.00674         0.00651         0.01844          0.32696          0.28625        19.24276       17.94371       17.31226       16.94879       16.72986          20.28636             20.65777             19.20276        17.95371        17.32225        16.95879        16.74986       -18.95827          -20.20732          -20.83878          -21.20224          -21.41117          -17.87468          -17.50326         17.92871         32.41690         33.62380         31.93193         27.15878      36.27319       12.09923          13.95246           25.22745           26.16668           24.85003           21.13548             28.22849              9.41585           68.17423         26.51766        3.34612     0.04206550     20.2851       3.321534       0.0946191       1.96e-04       0.1304        0.3170         0.206        0.159        0.115        0.088        0.063        0.342        0.373          1.296         1.301            3         ['AIS']         0.77822           -0.29900         1.33602            2         -0.29900            -0.51743            1          0.33436            0.22983         0.43581            428.75                     0.12260                   0.04087           9.59490         -0.15680         6.09330         5.14240         3.71820         2.84620         2.24070       11.53930         4.42120       1.90410    2.20876      22.72371      456.51600
