log10..NII..Ha. log10.EW.Ha.. WHAN_Class
-0.61438  1.67092  1.00000
-0.55264  1.54139  1.00000
-0.44251  0.82184  1.00000
-0.46531  1.39078  1.00000
-0.62450  1.75794  1.00000
-0.48668  1.22781  1.00000
-0.29059 -0.09474  0.00000
 0.00000  0.00000  0.00000
-0.43593  1.60243  1.00000
-0.41409  1.73493  1.00000
-0.61632  1.65111  1.00000
 0.18872  0.25115  4.00000
-0.85501  1.76296  1.00000
-0.11451  0.28398  4.00000
-0.42051  1.81509  1.00000
-0.34705  1.44616  2.00000
-0.35981  1.39372  2.00000
-0.38742  1.80412  2.00000
-0.37406  1.23669  2.00000
-0.31640  1.49182  2.00000
-0.60123  1.67056  1.00000
 0.10317 -0.24949  4.00000
-0.26121  0.61215  3.00000
-0.29724  1.40814  2.00000
-0.41853  1.37436  1.00000
-0.55732  1.77607  1.00000
-0.63367  1.82612  1.00000
-0.66802  1.56258  1.00000
-0.70157  1.64657  1.00000
-0.37299  1.51619  2.00000
-0.27137  1.54273  2.00000
 0.00612  0.31952  4.00000
-0.16197  0.98236  2.00000
-0.47434  1.50395  1.00000
-0.48031  1.60790  1.00000
-0.49799  1.63006  1.00000
-0.46713  1.49857  1.00000
-0.15037  0.59956  3.00000
 0.12242 -0.14813  4.00000
-0.36195  0.73392  3.00000
-0.57436  1.47677  1.00000
-0.30266  1.58164  2.00000
-0.25978  1.32923  2.00000
-0.27809  1.73569  2.00000
-0.35365  1.44733  2.00000
 0.00000  0.00000  0.00000
-0.47023  1.46201  1.00000
-0.31222  0.26928  4.00000
-0.43225  1.52230  1.00000
-0.52962  1.71786  1.00000
-0.56813  1.69650  1.00000
-0.46437  0.91084  1.00000
-0.59305  1.62924  1.00000
-0.54828  1.64526  1.00000
-0.44711  1.53516  1.00000
-0.09397  0.23122  4.00000
-0.54443  1.00629  1.00000
-0.43458  1.52762  1.00000
-0.26970  0.87017  2.00000
-0.36702  1.41823  2.00000
-0.49027  1.65230  1.00000
-0.31500  0.78104  2.00000
-0.85938  1.66796  1.00000
-0.46986  1.56507  1.00000
-0.60525  1.31804  1.00000
-0.44167  1.64600  1.00000
-0.56024  1.90643  1.00000
 0.00000  0.00000  0.00000
-0.61964  1.63085  1.00000
-0.00392  0.75412  3.00000
-0.33323  0.82930  2.00000
-0.31166  1.04813  2.00000
 0.05461  0.17173  4.00000
-0.02927  0.40943  4.00000
-0.29272  0.16732  4.00000
 0.00000  0.00000  0.00000
-0.59018  1.70372  1.00000
-0.41896  1.18372  1.00000
-0.63651  1.92572  1.00000
 0.00000  0.00000  0.00000
-0.39879  1.32873  2.00000
 0.16679 -0.08938  4.00000
 0.00000  0.00000  0.00000
-0.15221  1.13011  2.00000
-0.52450  1.55963  1.00000
-0.35608  0.98439  2.00000
-0.52454  1.46367  1.00000
-0.34010  0.54691  3.00000
-0.35410  1.45466  2.00000
-0.46525  1.57776  1.00000
-0.65797  1.53469  1.00000
-0.47313  1.61839  1.00000
-0.20433  0.54667  3.00000
-0.36640  1.71735  2.00000
-0.60985  1.59556  1.00000
-0.50254  1.40049  1.00000
-0.40064  1.45050  1.00000
-0.23315  0.51720  3.00000
-0.41215  1.64980  1.00000
-0.52854  1.58119  1.00000
-0.60220 -0.21538  0.00000
-0.27110  1.11307  2.00000
-0.28204  1.19720  2.00000
-0.34604  0.66087  3.00000
-0.27056  1.07719  2.00000
 0.16574 -0.05404  4.00000
-0.31163 -0.14206  4.00000
-0.41389  1.57092  1.00000
-0.54211  1.39637  1.00000
-0.45003  1.20192  1.00000
-0.70948  1.82334  1.00000
-0.12535  0.14239  4.00000
-0.24047  0.51508  3.00000
-0.29790  1.30546  2.00000
-0.38876  0.82562  2.00000
-0.44574  1.60207  1.00000
-0.35247  1.73201  2.00000
 0.00000  0.00000  0.00000
-0.41226  1.50908  1.00000
-0.23058  0.01284  4.00000
-0.02046  0.20167  4.00000
 0.08382 -0.31336  4.00000
-0.41774  1.53704  1.00000
-0.46807  1.65577  1.00000
-0.23293  0.73288  3.00000
-0.39468  1.41885  2.00000
-0.35583  1.47245  2.00000
-0.35961  0.65849  3.00000
-0.64747  1.85320  1.00000
-0.45393  1.64914  1.00000
-0.53180  1.83613  1.00000
-0.60160  1.96855  1.00000
 0.09696  0.11893  4.00000
-0.15660  1.37005  2.00000
 0.08452 -0.30277  4.00000
-0.67973  1.70525  1.00000
-0.49169  1.34951  1.00000
-0.40358  1.64971  1.00000
-0.44892  1.55823  1.00000
-0.15072  0.37088  4.00000
-0.41421  1.63597  1.00000
-0.26000  0.95751  2.00000
-0.52673  1.43228  1.00000
-0.81180  1.76520  1.00000
-0.57261  2.03606  1.00000
-0.32501  0.95332  2.00000
-0.46139  1.71114  1.00000
-0.29093  0.93344  2.00000
-0.83240  1.69668  1.00000
-0.31162  0.90832  2.00000
 0.00000  0.00000  0.00000
-0.23262  1.03957  2.00000
-0.19673  0.67633  3.00000
-0.44262  1.56333  1.00000
 0.04131  0.06371  4.00000
-0.19199  1.43567  2.00000
-0.63459  1.91392  1.00000
-0.48345  1.60439  1.00000
-0.61331  1.72078  1.00000
-0.46589  1.64971  1.00000
-0.47280  1.35834  1.00000
-0.48318  1.50725  1.00000
-0.54886  1.58387  1.00000
 0.00000  0.00000  0.00000
-0.44838  1.61609  1.00000
 0.07286  0.02612  4.00000
 0.08536  0.03981  4.00000
-0.48949  0.38703  4.00000
-0.25009  0.83531  2.00000
-0.20339  0.62294  3.00000
-0.05985  0.20466  4.00000
-0.41844  1.40742  1.00000
-0.32218  0.99804  2.00000
-0.46544  1.60317  1.00000
-0.51349  1.68484  1.00000
-0.46818  1.77776  1.00000
-0.42683  0.96525  1.00000
-0.57946  1.59083  1.00000
-0.41218  1.37221  1.00000
 0.00000  0.00000  0.00000
-0.55741  1.61636  1.00000
-0.41427  1.46237  1.00000
-0.47861  1.70526  1.00000
-0.32727  1.40497  2.00000
 0.00000  0.00000  0.00000
-0.50794  1.71442  1.00000
-0.43014  1.39905  1.00000
 0.00000  0.00000  0.00000
 0.00000  0.00000  0.00000
-0.34155  1.62651  2.00000
-0.40737  0.94146  1.00000
-0.41031  1.56313  1.00000
-0.41665  1.57367  1.00000
 0.00636 -0.03292  4.00000
 0.00000  0.00000  0.00000
-0.40817  1.69560  1.00000
-0.74294  2.02650  1.00000
 0.10331 -0.37675  4.00000
-0.47388  1.35297  1.00000
-0.28654  1.29502  2.00000
-0.17210  1.04036  2.00000
-0.40985  1.63139  1.00000
-0.48308  1.71642  1.00000
-0.35926 -0.11464  4.00000
-0.43598  1.51446  1.00000
-0.55243  1.56079  1.00000
-0.24063  1.51979  2.00000
-0.37358  1.32096  2.00000
-0.42335  1.75488  1.00000
-0.84108  1.29093  1.00000
-0.43229  0.80195  1.00000
 0.01356  0.22660  4.00000
 0.00000  0.00000  0.00000
-0.32879  0.94463  2.00000
-0.45900  1.31681  1.00000
-0.45640  1.60163  1.00000
-0.23228  0.72321  3.00000
-0.36969  0.64306  3.00000
 0.00000  0.00000  0.00000
-0.41227  1.34313  1.00000
-0.70932  1.41652  1.00000
-0.07521  1.02764  2.00000
-0.46095  1.69462  1.00000
-0.15760  1.02334  2.00000
-0.12926  1.21979  2.00000
 0.00000  0.00000  0.00000
 0.00000  0.00000  0.00000
 0.08402  0.16938  4.00000
-0.21819  0.77115  3.00000
-0.41137  1.77323  1.00000
-0.24314  0.66058  3.00000
-0.44220  1.44587  1.00000
-0.27050  1.35557  2.00000
 0.00000  0.00000  0.00000
 0.00000  0.00000  0.00000
-0.57113  1.81807  1.00000
-0.22029  0.75305  3.00000
-0.72620  1.82045  1.00000
-0.41568  1.36722  1.00000
-0.42214  1.68233  1.00000
-0.37701  1.17254  2.00000
-0.17367  0.32015  4.00000
-0.52352  1.71965  1.00000
-0.40624  1.72031  1.00000
-0.46775  1.72590  1.00000
 0.00000  0.00000  0.00000
-0.32327 -0.28904  0.00000
-0.28189  0.60606  3.00000
-0.02745  0.90086  2.00000
-0.41522  1.39139  1.00000
-0.61874  1.76415  1.00000
-0.39623  1.72612  2.00000
-0.44596  1.53634  1.00000
-0.59896  1.71863  1.00000
 0.23645 -0.10679  4.00000
 0.00000  0.00000  0.00000
-0.42142  1.58976  1.00000
-0.73467  1.68941  1.00000
-0.34913  1.29464  2.00000
-0.45045  1.54996  1.00000
-0.64440  1.71213  1.00000
