objID,plate,mjd,fiberID,F_Halpha,EW_Halpha,s2n_Halpha,F_Hbeta,EW_Hbeta,s2n_Hbeta,F_oiii,EW_oiii,s2n_oiii,F_nii,EW_nii,s2n_nii,ra,dec,redshift,SNVSS,RCl,SFIRST,Offset,A,M,L,H
587739809414381748,2132,53493,129,1943.674,45.281,71.92,366.125,7.973,38.51,78.337,1.78,11.329,638.919,14.806,48.327,216.5723,22.93371,0.06961,9.1,1,1.4,0.81,False,True,False,False
587739608639209570,2134,53876,359,369.248,6.278,39.745,74.989,1.468,11.922,62.14,1.25,11.176,352.044,5.954,39.869,215.9261,28.34609,0.03061,11.1,3,NA,NA,False,True,False,False
588015508739195010,396,51816,311,152.061,2.109,13.253,45.622,0.666,5.185,187.502,2.836,18.679,154.213,2.127,15.032,15.25463,-0.41233,0.09667,7.6,1,5.3,0.23,True,False,True,False
587726877806624781,644,52149,11,32.806,0.297,4.297,14.951,0.154,1.276,-994,-999,1.265,93.332,0.841,6.068,328.5273,-8.65018,0.06992,23.5,1,19.0,0.74,True,True,True,False
587739721379348706,2161,53878,175,-999,-999,0.001,57.819,1.283,5.756,53.592,1.22,5.447,-999,-999,0,231.5675,22.12696,0.09047,5.1,1,5.3,0.12,True,True,True,False
588013384338899050,1198,52669,361,205.885,2.842,12.77,63.862,0.994,3.86,-999,-999,0.002,106.581,1.464,10.114,133.8968,40.46482,0.08747,14.2,1,4.0,1.16,True,True,True,False
588017703482032232,1705,53848,23,419.809,1.125,17.503,114.402,0.341,5.653,495.88,1.513,9.58,1036.253,2.762,23.895,214.2206,10.80742,0.02471,4581.1,4,29.8,0.35,True,False,True,False
587741600418496520,2223,53793,300,317.857,3.675,34.186,40.386,0.493,6.95,55.04,0.701,5.894,255.496,2.938,26.379,177.3282,26.1216,0.01199,9.2,3,NA,NA,False,False,False,False
587725503945048077,349,51699,187,2339.982,52.221,157.064,747.983,9.677,67.243,1232.883,17.551,124.321,435.273,9.664,88.151,253.8891,63.24213,0.02255,5.3,3,NA,NA,False,True,False,False
587735667454247018,1326,52764,403,475.891,16.876,34.586,84.651,3.58,13.347,133.34,5.753,11.738,279.782,9.869,24.712,216.249,54.51838,0.07485,8.8,1,9.1,0.89,False,True,False,False
587736543093391636,1812,53795,509,318.971,7.689,29.619,92.092,2.329,16.081,198.972,5.227,37.116,265.464,6.366,25.774,218.553,8.97709,0.08615,8.8,1,5.8,0.53,True,True,True,False
588010880382206121,855,52375,576,13.45,0.151,1.866,-994,-999,1.129,16.232,0.201,2.391,-994,-999,1.266,208.6761,5.48223,0.07693,33.8,2,12.9,0.46,True,True,True,False
587736540936994924,1795,54507,565,718.666,7.022,25.192,157.968,1.883,12.131,1417.831,17.046,28.026,1292.524,12.563,27.626,197.7386,8.62736,0.05219,5.3,1,3.1,0.11,False,False,False,False
587742865279353039,2483,53852,452,1712.85,20.759,30.752,245.329,3.451,21.813,897.46,12.929,30.619,2056.522,24.793,26.883,163.2114,16.98544,0.0579,10.5,1,8.1,0.04,False,True,False,False
588017604152524884,1376,53089,150,5240.802,41.894,36.024,939.939,8.536,29.02,6457.187,60.1,34.56,5285.572,42.029,35.509,200.9519,43.30119,0.02734,10.2,1,9.9,0.39,False,False,False,False
587732135918239769,877,52353,544,1581.977,49.911,43.8,265.484,9.847,26.481,136.365,5.139,20.856,708.366,22.23,36.775,166.6024,51.39246,0.04631,6.8,1,5.9,0.16,False,True,False,False
587742571075469474,2498,54169,125,36.078,0.476,4.046,19.355,0.265,2.676,20.135,0.285,3.26,50.611,0.665,5.37,171.9458,18.41721,0.07523,27.5,1,6.3,3.38,True,True,True,False
587725470133780547,447,51877,568,1890.337,23.119,63.491,391.374,4.198,38.479,68.056,0.773,8.778,678.847,8.259,44.659,133.1004,52.99898,0.04141,5.5,1,4.6,1.02,False,True,False,False
587736620399460373,1393,52824,612,160.187,0.591,5.676,-999,-999,0.771,25.858,0.106,1.706,410.978,1.509,9.106,242.8088,26.92341,0.03193,102.8,1,48.2,0.75,True,False,True,False
588017627778973911,1351,52790,524,670.492,35.874,132.309,103.772,6.268,22.252,44.925,2.771,8.214,413.403,22.001,61.777,224.345,38.7746,0.07349,6,1,5.3,0.64,False,True,False,False
588023240743190596,2432,54052,327,2184.236,33.434,162.346,637.86,6.004,74.964,386.324,3.983,67.224,585.545,8.917,93.379,134.3483,17.28802,0.02054,5.8,3,NA,NA,False,False,False,False
587742013277929657,2496,54178,195,525.899,15.576,78.828,79.26,2.903,21.816,97.405,3.604,21.314,263.884,7.774,42.967,170.2506,21.33695,0.0211,12.1,1,5.0,0.58,False,False,False,False
587726032764600581,467,51901,613,212.624,2.306,13.978,43.643,0.544,5.339,97.763,1.251,9.257,231.918,2.502,15.052,132.3878,1.72801,0.06883,17.9,1,9.0,0.38,True,True,True,False
587731873387577542,892,52378,491,18.697,0.251,2.72,23.813,0.342,2.779,11.849,0.176,2.127,9.932,0.133,1.34,122.768,35.98564,0.08152,58.6,2,NA,NA,True,True,True,False
588011217535631598,813,52354,291,57.753,1.067,8.448,11.026,0.225,2.763,25.798,0.544,2.466,95.423,1.753,11.947,240.2878,46.38826,0.07896,5.6,1,1.8,0.43,True,True,True,False
588023670239920177,2495,54175,579,2666.044,144.742,228.169,657.119,22.009,127.885,382.031,13.998,108.264,869.007,46.935,172.927,170.4138,20.15772,0.01338,11,1,7.5,5.63,False,False,False,False
587731680116473902,827,52312,620,3048.536,47.505,120.78,682.159,8.946,68.781,580.283,8.051,75.326,1379.872,21.39,80.549,128.6662,38.36242,0.04076,11,1,5.8,1.37,False,True,False,False
587742012732473530,2371,53762,126,1516.728,19.988,54.494,167.265,2.644,19.719,46.584,0.749,4.759,822.211,10.778,40.602,149.7712,17.82145,0.02639,8.7,1,7.0,0.39,False,False,False,False
587736545774796967,1831,54557,100,87.65,1.143,7.287,50.42,0.73,3.305,32.406,0.481,1.825,117.238,1.521,9.325,226.3377,5.09035,0.08143,11.3,1,9.2,0.22,True,True,True,False
588013383279968501,883,52430,356,240.332,3.768,17.595,60.298,1.014,5.186,109.975,1.914,8.634,346.916,5.411,22.006,181.1326,52.46362,0.08258,6.5,1,7.6,0.04,True,True,True,False
588013383281541253,884,52374,152,47.457,0.819,7.992,28.747,0.543,4.986,8.936,0.174,2.075,81.906,1.407,7.919,186.9851,52.52348,0.08373,8.1,1,3.8,0.20,True,True,True,False
588017114517995566,1395,52825,96,1512.189,13.163,29.637,159.737,1.724,14.293,87.811,0.962,6.962,1020.198,8.833,28.782,217.2848,41.83076,0.01803,8.3,1,9.1,0.58,False,False,False,False
587742550689054883,2520,54584,622,3457.096,39.754,88.333,758.597,6.968,54.897,129.252,1.269,22.575,1677.842,19.193,66.698,238.5788,12.12575,0.03497,5.6,1,3.9,0.75,False,True,False,False
587727178467836048,457,51901,294,108.033,2.867,21.97,17.352,0.551,3.218,34.619,1.124,6.866,175.075,4.622,23.266,42.57394,-8.59674,0.01778,5.7,1,3.7,1.77,False,False,False,False
587731886814855304,897,52605,511,189.236,2.196,10.7,55.046,0.672,2.734,45.388,0.574,4.077,122.952,1.419,9.107,134.9887,45.32755,0.08689,18.8,1,15.6,0.55,True,True,True,False
587742629071683909,2531,54572,248,768.342,11.443,20.235,106.437,1.794,10.565,65.501,1.131,6.752,514.15,7.617,24.017,245.1874,9.53854,0.08917,7.9,1,2.9,0.35,False,True,False,False
587726033849221158,504,52316,540,184.69,1.651,9.178,41.835,0.416,3.484,53.794,0.545,5.056,242.762,2.159,10.527,157.246,3.12434,0.07256,128,1,13.8,0.62,True,True,True,False
587728308563149023,507,52353,154,544.702,7.263,26.674,140.013,2.121,10.931,276.376,4.299,16.379,396.192,5.255,23.357,163.2502,2.13776,0.06784,9,1,8.5,0.31,True,True,True,False
587729752209555933,972,52428,338,1339.208,58.045,53.309,225.518,11.254,33.094,56.037,2.873,12.173,713.176,30.746,41.34,253.9357,34.76406,0.06199,20.3,2,0.8,0.56,False,True,False,False
587730022799638934,2951,54592,433,545.608,20.997,25.591,131.313,4.566,16.384,484.712,17.806,15.47,249.792,9.562,20.826,238.0247,4.55486,0.08029,6.6,1,1.2,0.88,False,True,False,False
587735240107753665,1277,52765,259,480.901,15,59.821,77.438,3.012,15.049,720.844,28.644,48.21,912.198,28.302,48.307,147.7446,37.96635,0.04053,66.6,1,68.3,0.56,True,True,False,True
588023045872156792,2298,53737,59,845.889,22.637,98.345,122.848,4.293,25.024,57.41,2.026,10.713,402.691,10.719,45.129,150.2912,22.40171,0.02464,9.2,1,3.7,1.27,False,True,False,False
588017978914504915,1656,53533,509,717.977,13.586,80.857,133.549,2.585,21.722,33.368,0.672,4.632,299.153,5.631,45.846,241.2979,24.96011,0.03378,6,3,NA,NA,False,False,False,False
587739706883702982,2196,53534,404,1711.885,47.423,68.918,243.865,7.56,44.68,48.021,1.518,10.293,923.903,25.459,48.714,240.3181,17.67782,0.04447,6.1,1,2.7,0.56,False,True,False,False
588018253759185130,1682,53173,12,88.378,1.118,8.007,38.029,0.532,4.127,40.796,0.585,3.183,239.327,3.01,12.784,242.3467,35.37791,0.06912,552.8,4,NA,NA,True,True,True,False
587745969464475759,2967,54584,353,2215.8,39.941,64.537,385.655,7.084,37.688,75.448,1.428,9.926,949.612,17.027,46.843,240.6679,19.48701,0.04108,5.8,1,4.4,0.44,False,True,False,False
587729231985115475,2973,54591,232,745.417,5.114,24.402,240.593,1.752,9.41,298.778,2.247,10.539,636.235,4.342,21.082,258.6801,33.30746,0.03761,5.8,1,3.9,1.14,False,True,False,False
587738410335207595,1754,53385,148,-999,-999,0.701,-999,-999,0.004,41.696,0.512,1.763,-999,-999,0.564,173.2095,14.51916,0.08158,7.7,1,6.2,1.55,True,True,True,False
587738564407394583,1758,53084,43,1381.938,22.386,56.734,223.859,4.144,29.002,33.296,0.63,5.568,533.628,8.599,41.333,126.7327,7.41699,0.03148,5.3,1,4.6,0.26,False,True,False,False
588017978909851719,1651,53442,463,1874.965,29.661,38.274,327.25,4.577,27.052,222.29,3.262,14.415,1134.806,17.858,29.415,231.0118,30.24459,0.06212,9,1,8.5,0.27,False,True,False,False
587733399187226890,1342,52793,70,144.221,2.187,15.82,40.21,0.627,4.9,91.533,1.479,7.957,212.502,3.206,22.322,252.5482,29.29338,0.07499,7.2,1,10.2,0.09,True,True,True,False
587742013812768880,2488,54149,238,191.257,20.897,74.424,41.985,3.991,14.964,17.544,1.768,8.987,61.139,6.645,26.558,165.1433,21.20173,0.07761,7.4,3,NA,NA,False,True,False,False
587738067801866373,1867,53317,399,1008.859,36.046,25.407,230.521,9.413,16.572,3148.865,132.04,20.304,695.23,24.709,24.515,114.2353,47.99634,0.09624,5.1,1,5.0,0.21,False,True,False,False
587742188828819542,2514,53882,201,668.724,17.205,49.041,116.397,2.832,18.558,318.637,8.154,28.364,824.53,21.102,35.357,178.4169,23.63905,0.02428,8.5,1,10.0,0.23,False,True,False,False
587732484357292116,966,52642,604,70.985,0.874,1.935,-999,-999,0.435,15.377,0.215,2.724,30.359,0.372,5.034,174.1098,50.22327,0.05389,41,2,NA,NA,True,True,True,False
587738948287725595,1988,53469,403,2400.256,40.749,28.131,372.35,6.727,19.832,133.006,2.462,11.54,1087.811,18.37,26.483,165.0681,39.1128,0.0732,7,1,5.0,0.67,False,True,False,False
587732591718891567,958,52410,451,47.415,0.344,4.632,-999,-999,0.603,-999,-999,0.16,24.773,0.179,2.31,197.5182,60.22408,0.06141,8.2,1,5.2,0.36,True,True,True,False
587739721366438017,2002,53471,462,103.135,1.687,16.097,26.92,0.453,3.42,86.732,1.518,7.807,158.428,2.578,22.131,199.7673,29.64301,0.07275,1467,4,34.7,0.59,True,True,True,False
587729777448517660,921,52380,142,2416.782,160.565,196.335,648.364,29.09,94.382,472.32,23.003,107.395,629.908,41.632,129.126,224.1355,-2.10839,0.02264,10.3,1,8.0,9.29,False,False,False,False
587736920509448545,1573,53226,581,116.521,1.406,10.481,26.741,0.346,4.237,42.054,0.562,6.311,53.215,0.639,6.22,247.8529,25.05273,0.06227,40.6,1,41.2,0.51,True,True,True,False
